2025/01/25                                                                               Salida dinámica de lista                                                                                                                                    1
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|    S|Orden   |Doc.mat.  |Fe.contab.|Fecha doc.|         Impte.ML|Material|  Cantidad|UMB|Texto breve de material                 |Ce. |Alm.|CMv|Cl.valor. |    Ctd.UME|Cta.mayor|Destinat.   |D/H|Mon.|  Reserva| Pos|Pto.desc.                |UME|
|     |90125640|4902529857|2005/03/01|2005/03/01|            0,00 |40010443|        1 |PC |PRO2150 ~ UTILICE 14085836              |AR20|2010|261|          |         1 |         |IS-MARTEAREN|H  |ARS | 11911465| 441| CARGO LEG. 2066         |PC |
|     |90125640|4902529743|2005/03/01|2005/03/01|            0,00 |40010443|        1 |PC |PRO2150 ~ UTILICE 14085836              |AR20|2010|261|          |         1 |         |IS-TAPIA H  |H  |ARS | 11911465| 440|A CARGO LEG.4198         |PC |
|     |90125640|4902529603|2005/03/01|2005/03/01|            0,00 |40005933|        1 |UN |CUERO P/SOLDADOR ~ UTILICE 40051010     |AR20|2010|261|          |         1 |         |Oyapura     |H  |ARS | 11911465| 439|                         |UN |
|     |90141847|4902529237|2005/03/01|2005/03/01|          420,00 |20031560|       10 |PC |DELETED ITEM ~ NO MOVING                |AR20|2010|261|NEW       |        10 |81251000 |LRFPadilla  |H  |ARS | 13547551|   5|                         |PC |
|     |90123000|4902528901|2005/03/01|2005/03/01|            0,00 |40008830|        1 |PC |CUERO VAQUETA ~ UTILICE 20139191        |AR20|2010|261|          |         1 |         |PRODUCC.    |H  |ARS |         |    |PATRANA A.LEG.80698      |PC |
|     |90125640|4902528804|2005/03/01|2005/03/01|            0,00 |40010443|        1 |PC |PRO2150 ~ UTILICE 14085836              |AR20|2010|261|          |         1 |         |IS-RIOS JOSE|H  |ARS | 11911465| 438|A CARGO LEGAJO 3873      |PC |
|     |90139068|4902528576|2005/03/01|2005/03/01|          240,00 |20022853|       20 |PC |150X40X19MM TORSUR ~ RUEDA              |AR20|2010|261|NEW       |        20 |81251000 |is-escalante|H  |ARS | 13374573|   3|                         |PC |
|     |90139069|4902528202|2005/03/01|2005/03/01|            0,00 |40008659|    5,550 |KG |25MM 1M=3,70 KG ~ UTILICE 20139117      |AR20|2010|261|          |     5,550 |         |IS-RAMOS D  |H  |ARS | 13374584|  21|HIBAN YAPURA             |KG |
|     |92661159|6079614274|2025/01/24|2025/01/24|       59.580,83 |20127673|        1 |PC |91A4610100 ~ BRAKE PUMP                 |AR20|2010|261|NEW       |         1 |81200112 |LP-R.Arias  |H  |ARS |186812739|  21|CAT-Int.63               |PC |
|     |92661159|6079614274|2025/01/24|2025/01/24|       49.078,21 |20132648|        2 |PC |F301612523 ~ RETEN                      |AR20|2010|261|NEW       |         2 |81200112 |LP-R.Arias  |H  |ARS |186812739|  26|CAT-Int.63               |PC |
|     |92661159|6079614274|2025/01/24|2025/01/24|       12.718,44 |22002146|        2 |PC |91E3301800 ~ RETEN RUEDA DELANTERA      |AR20|2010|261|NEW       |         2 |81200112 |LP-R.Arias  |H  |ARS |186812739|  46|CAT-Int.63               |PC |
|     |92658864|6079614272|2025/01/24|2025/01/24|        8.508,73 |20138849|        1 |KG |3,25MM ~ ELECTRODO                      |AR20|2010|261|NEW       |         1 |81200112 |GAquino     |H  |ARS |186587751|  17|Tunel Sunchado 1         |KG |
|  *  |        |          |2025/01/24|          |    7.772.057,04 |        |          |   |                                        |    |    |   |          |           |         |            |   |ARS |         |    |                         |   |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ** |        |          |          |          |1.607.797.253,54 |        |          |   |                                        |    |    |   |          |           |         |            |   |ARS |         |    |                         |   |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
